id,industry,sub_industry,data_type,is_breakout,keywords,search_volume,city_name,cluster_number,added_at,data_source
700,healthcare,mental health,query,FALSE,"dcr mental health, what is mental health, what is mental health, mental health services near me, what is mental health, mental health services near me, associates in mental health, mental health services, mental health clinic near me, dcr mental health, seattle mental health, seattle mental health, mental health services, fmla for mental health, sound mental health auburn, mental health events, mental health quiz, mental health hospitals near me, mental health care, sound mental health seattle, social media and mental health, mental health jobs, mental health counselor, sound mental health, mental health near me, mental health counselor, sound mental health, mental health near me, mental health therapist, mental health therapist, mental health hospital, mental health center, sound mental health, mental health support, mental health center, mental health hospital, mental health crisis, mental health day, inpatient mental health, mental health day, mental health disorders, mental health clinic, mental health disorders, mental health clinic, greater lakes mental health, uw mental health, mental health day, mental health resources, greater lakes mental health, mental health disorders, kaiser mental health, greater lakes mental health, kaiser, mental health facility, kaiser mental health, social media and mental health, mental health test, kaiser mental health, mental health for all, mental health evaluation, mental health first aid, mental health first aid, mental health quotes, clarity mental health",2407,Seattle,1,26:38.0,Google Trends
701,healthcare,mental health,query,FALSE,"mental health awareness month 2025, mental health awareness month 2025, what is mental health, what is mental health, mental health awareness, department of mental health, mental health awareness, department of mental health, men's mental health month, missouri department of mental health, mental health awareness month, mental health first aid, mental health awareness month, missouri department of mental health, mental health awareness, mental health awareness, missouri department of mental health, mental health first aid, mental health first aid training, mental health awareness month, men's mental health month, mental health first aid training, mental health awareness month, men's mental health month",1285,St Louis,0,26:38.0,Google Trends
702,healthcare,mental health,query,FALSE,"mental health apps, mla citation, slides, google scholar, southeast missouri mental health center, psychology today, alton mental health center, teen mental health, alliance counseling services, free therapy online, alliance counseling services, mental health support, mental health urgent care, chester mental health center, ellie mental health, mental health therapist near me, how does social media affect mental health, social media and mental health, social media and mental health, mental health quotes, ellie mental health, ellie mental health, mental health america, schizophrenia, mental health quotes, mental health treatment, mental health issues, mental health service, mental health urgent care, mental health hospital, mental health day, mental health support, mental health disorders, mental health crisis, ellie mental health, mental health day, mental health crisis, alton mental health center, mental health matters, mental health urgent care, mental health urgent care, chester mental health center, mental health hotline, mental health hotline, mental health america, alton mental health center, ellie mental health st charles, southeast missouri mental health center, mental health facilities near me, alton mental health center, southeast missouri mental health center, mental health facilities near me, chester mental health center",3832,St Louis,1,26:38.0,Google Trends
703,healthcare,pharmaceuticals,query,FALSE,"dog vaccines schedule, vaccines and autism, how many mmr vaccines do you need, ivermectin cancer clinical trials, measles, clinical trials gov, safeway pharmacy, covid vaccines, clinical trials gov, cdc, rfk jr vaccines, covid vaccines, clinical trials gov, covid vaccines, weight loss medication, measles vaccines, measles, do vaccines cause autism, 2 year old vaccines, cdc travel vaccines, vaccines for dogs, costco vaccines, mmr vaccine, what vaccines are required for school, mercury in vaccines, rfk jr vaccines, mmr vaccine, cvs prescriptions, rfk vaccines, weight loss medication, vaccines for babies, mrna vaccines, autism and vaccines, dog vaccines, measles, dog vaccines, mrna vaccines, travel vaccines, dog vaccines, rfk vaccines, live vaccines, vaccines for children, cat vaccines, cat vaccines, puppy vaccines, vaccines for babies, 2 month vaccines, walgreens vaccines, safeway vaccines, mrna vaccine, puppy vaccines, costco vaccines, walgreens vaccines, costco vaccines, vaccines and autism, walgreens vaccines, 2 month vaccines, safeway vaccines, paid clinical trials near me, safeway vaccines, 2 month vaccines, how do vaccines work, chicken vaccines, walgreens, cvs vaccines, where to get vaccines, how do vaccines work, do vaccines cause autism, fda approved vaccines, gsk vaccines",3688,Seattle,0,26:38.0,Google Trends
704,healthcare,pharmaceuticals,query,FALSE,"tonix pharmaceuticals, measles outbreak, vertex pharmaceuticals stock, nvidia stock, epilepsy medications, hi tech pharmaceuticals, medications not allowed in japan, teva pharmaceuticals, glp 1 medications, pertussis, acid reflux medications, recursion pharmaceuticals stock, triptan medications, amazon prescriptions, glp 1 medications, medications for ocd, anti allergy medications, antiviral medications, blood pressure medications, anxiety medication side effects, vertex pharmaceuticals, custom prescriptions, blood pressure medications, blood pressure medication side effects, jazz pharmaceuticals, vertex pharmaceuticals, custom prescriptions, blood pressure medications, adhd medication, vertex pharmaceuticals, anxiety medications, antifungal medications, citalopram, diuretic medications, verrica pharmaceuticals stock, telix pharmaceuticals, anxiety medication, adhd medications, regeneron pharmaceuticals, lexapro, biohaven pharmaceuticals, custom prescriptions, adhd medications, methylphenidate, anxiety medications, hydroxyzine, dementia medications, pneumococcal vaccine, heart medications, amazon prescriptions, diabetes medications, anxiety medications, anti nausea medications, insomnia medications, amneal pharmaceuticals, type 2 diabetes medications, thyroid medication side effects, glp-1 medications, medications for anxiety, weight loss medications, anti nausea medications, anti nausea medications, teva pharmaceuticals, anticholinergic medications, tdap vaccine, takeda pharmaceuticals, heart failure medications, weight loss medications, diabetes medications, diabetes medications, cholesterol medications, amazon prescriptions, weight loss medications, jazz pharmaceuticals, statin medications, diuretic medications, cholesterol medications, cholesterol medications, glp-1 medications, sleep medications, tonix pharmaceuticals stock, glp-1 medications, recursion pharmaceuticals, seizure medications, cns pharmaceuticals, side effects of blood pressure medication, dementia medications, goodrx, antipsychotic medications, recursion pharmaceuticals, mist pharmaceuticals, ozempic, antipsychotic medications, ssri medications, takeda pharmaceuticals, antipsychotic medications, migraine medications, jazz pharmaceuticals, ssri medications, vertex pharmaceuticals stock, seizure medications, gabapentin, asthma medications, gerd medications, gerd medications, asthma medications, antidepressant medications, osteoporosis medications, seizure medications, psychotropic medications, vanda pharmaceuticals, lisinopril, recursion pharmaceuticals stock, gabapentin, ed medications, psychotropic medications, hpv, hypertension medications, tdap vaccine, antidepressant medications, measles outbreak, tonix pharmaceuticals stock price, statin medications, osteoporosis medications, metformin, acadia pharmaceuticals stock, ssri medications, ionis pharmaceuticals, hepatitis b, anti nausea medications over the counter, petco, telix pharmaceuticals stock, bora pharmaceuticals, varicella, rubella, ed medications, takeda pharmaceuticals, suzanne humphries",9310,Seattle,1,26:38.0,Google Trends
705,healthcare,pharmaceuticals,query,FALSE,"psychotropic medications, blood pressure medications, ssri medications, blood pressure medications, blood pressure medications, diabetes medications, cholesterol medications, adhd medications, psychotropic medications, medications for anxiety, seizure medications, asthma medications, weight loss medications, adhd medications, weight loss medications, cholesterol medications, sleep medications, glp-1 medications, seizure medications, diabetes medications, glp-1 medications, glp-1 medications, type 2 diabetes medications, ssri medications, asthma medications, antipsychotic medications, antipsychotic medications, glp 1 medications, ssri medications, antiviral medications, cholesterol medications, antiviral medications, antiviral medications, gerd medications, antidepressant medications, antifungal medications",1541,St Louis,0,26:38.0,Google Trends
706,healthcare,pharmaceuticals,query,FALSE,"tonix pharmaceuticals, do vaccines cause autism, cvs vaccines, fda flu vaccines, teva pharmaceuticals, vertex pharmaceuticals, measles outbreak, clinical trials gov, covid vaccines, clinical trials near me, vertex pharmaceuticals, covid vaccines, walgreens prescriptions, covid vaccines, clinical trials gov, prescriptions plus, mallinckrodt pharmaceuticals, mallinckrodt pharmaceuticals, jazz pharmaceuticals, dog vaccines, fda approved vaccines, clinical trials near me, hpv vaccine, rfk vaccines, avadel pharmaceuticals, madrigal pharmaceuticals, mrna vaccines, vaccines near me, hi tech pharmaceuticals, clinical trials gov, ivermectin cancer clinical trials, clinical trials near me, vaccines near me, teva pharmaceuticals, walgreens vaccines, 2 month vaccines, square stock, vertex pharmaceuticals, 2 month vaccines, walgreens vaccines, metformin, amlodipine, cvs vaccines, how many vaccines do children get, do vaccines cause autism, walgreens vaccines",3461,St Louis,1,26:38.0,Google Trends
707,healthcare,telehealth,query,FALSE,"trump telehealth, telehealth medicaid, telehealth telemedicine services, medicaid, telehealth nurse jobs, telehealth extension, telehealth urgent care, telemedicine services, first tech, ai in healthcare industry, telemedicine services, ai in healthcare industry, ai in healthcare industry, telehealth telemedicine services, telehealth app, telehealth near me, telehealth appointment, teledoc, telehealth urgent care, telehealth telemedicine services, telehealth washington state, telehealth extension, telehealth urgent care, telehealth therapy near me, telehealth band, telehealth extension",4331,Seattle,0,26:38.0,Google Trends
708,healthcare,telehealth,query,FALSE,"medicare and telehealth, medicare telehealth, medicare telehealth 2025, medicare telehealth services, medicare not covering telehealth, telehealth medicare, medicare telehealth, what is telehealth, medicare telehealth 2025, medicare telehealth 2025, what is telehealth, what is telehealth",2547,Seattle,1,26:38.0,Google Trends
709,healthcare,telehealth,query,FALSE,telehealth medicare,100,St Louis,0,26:38.0,Google Trends
710,healthcare,telehealth,query,FALSE,medicare telehealth coverage,300,St Louis,1,26:38.0,Google Trends
711,healthcare,telehealth,query,FALSE,telehealth urgent care,100,St Louis,2,26:38.0,Google Trends
712,healthcare,telehealth,query,FALSE,telehealth services,15,St Louis,3,26:38.0,Google Trends
713,healthcare,telehealth,query,FALSE,what is telehealth,19,St Louis,4,26:38.0,Google Trends
714,healthcare,telehealth,query,FALSE,remote healthcare jobs,4,St Louis,5,26:38.0,Google Trends
715,healthcare,telehealth,query,FALSE,mercy telehealth,100,St Louis,6,26:38.0,Google Trends
716,healthcare,telehealth,query,FALSE,telemedicine services,100,St Louis,7,26:38.0,Google Trends
