,id,industry,sub_industry,data_type,is_breakout,keywords,search_volume,city_name,cluster_number,added_at,data_source
10,510,healthcare,health insurance,query,FALSE,"telehealth medicare, ssa login, documentation required for medicare in united states, medicare cuts 2025, medicare cuts, when does medicare start, medicare nursing home compare, unitedhealthcare medicare advantage login, medicare prescription payment plan, what is the difference between medicare and medicaid, medicare section nyt crossword, united healthcare medicare login, cuts to medicare, ace medicare supplement, does medicare cover dental, medicare prescription payment plan, difference between medicare and medicaid, aetna medicare advantage login, what is the difference between medicare and medicaid, medicare advantage plans, medicare advantage plans, medicare advantage, medicare advantage plans, aetna medicare advantage, aetna medicare advantage, aetna medicare advantage, what is medicare, uhc medicare advantage login, united health care medicare, medicare advantage, aetna medicare login, what is medicare, united health care medicare, medicare advantage plans 2025, uhc medicare advantage, what is medicare, medicare.gov, unitedhealthcare medicare advantage, unitedhealthcare medicare advantage login, aetna login, medicare part b, medicare login, medicare login, medicare part b, uhc medicare advantage, uhc medicare advantage, aetna medicare, aetna medicare, medicare missouri, my medicare, humana medicare advantage, essence medicare, aarp medicare advantage, sign up for medicare, medicare part b, aarp medicare advantage, medicare tax, my medicare, medicare tax, medicare part a, aetna medicare, medicare login, medicare part a, medicare supplement plans, medicare number, medicare tax, medicare vs medicaid, aetna login, medicare part a, medicare part d, trump medicare, uhc medicare advantage login, medicaid vs medicare, medicare part d, aetna medicare advantage login, uhc, medicare supplement plans, medicare age, medicare phone number, medicare phone number, aetna medicare advantage login, part d medicare, uhc medicare, medicare advantage plans 2025, medicare age, uhc medicare advantage login, humana medicare, medicare phone number, cost of medicare, medicare vs medicaid, medicare cuts, medicare premiums, humana medicare advantage, medicare age, unitedhealthcare medicare advantage, humana, humana medicare, united healthcare medicare, medicare enrollment, humana medicare, aarp medicare advantage login, medicare dental plans, aarp medicare advantage login, united healthcare login",7451,St Louis,0,17:57.8,Google Trends
11,511,healthcare,health insurance,query,FALSE,"cigna careers, anthem dental insurance, mo healthnet, urgent care, united healthcare provider phone number, myuhc, affordable health insurance, medicaid cuts, aspen dental, cheap health insurance, health insurance quotes, ssa, life and health insurance license, siue health insurance, health insurance missouri, delta dental, united healthcare, open enrollment missouri schools, vsp, delta dental insurance, health insurance missouri, medicaid, clarkson eyecare, delta dental, missouri health insurance, mo healthnet, medicaid, when is open enrollment for health insurance 2025, delta dental insurance, delta dental insurance, health insurance marketplace, part time jobs with health insurance, obamacare, umr, marketplace, aetna, crown vision, delta dental, blue cross blue shield, medicaid, health alliance insurance, compass health, marketplace health insurance, marketplace, health insurance, health insurance marketplace, marketplace, mo health insurance, united healthcare customer service, homestate insurance, how much is dental insurance, affordable health insurance, home state health, medicaid missouri, adp, blue cross blue shield, aetna dental insurance, dentist near me, dental insurance missouri, social security, united health insurance, social security, dental insurance cost, dental insurance plans, illinois health insurance, delta vision insurance, aetna, health insurance illinois, illinois health insurance, physicians mutual dental insurance, dental insurance no waiting period, healthcare marketplace, cigna health insurance, health insurance plans, best health insurance, social security, health insurance plans, health insurance companies, best dental insurance, cigna dental insurance, dental insurance, dental insurance plans, health insurance companies, guardian dental insurance, dental insurance plans, health insurance companies, cigna dental insurance, aetna dental insurance, free health insurance, private health insurance, aetna health insurance, united health care, dental insurance illinois, united healthcare, aspen dental, anthem health insurance, aetna health insurance, metlife dental, aetna health insurance, home state health insurance, anthem, cigna, guardian dental insurance, metlife dental, metlife dental, ambetter health insurance, anthem health insurance, cigna dental insurance, cigna health insurance, what is medicaid, affordable health insurance, home state health insurance, united healthcare provider, dental insurance for seniors, cigna, united healthcare, blue cross blue shield, cigna health insurance, health insurance marketplace missouri, ambetter, home state health insurance, cms, social security tax, physicians mutual dental insurance, unitedhealthcare, healthcare marketplace, united healthcare provider portal, physicians mutual dental insurance, qualified health insurance premiums, unitedhealthcare, missouri qualified health insurance premiums, umr health insurance, mutual of omaha dental insurance, mutual of omaha dental insurance, cobra health insurance, healthcare marketplace, is health insurance tax deductible, missouri qualified health insurance premiums, dental insurance no waiting period, anthem dental insurance, how much is health insurance per month, guardian dental insurance, mutual of omaha dental insurance, delta dental of missouri, dental insurance no waiting period",9019,St Louis,1,17:57.8,Google Trends
12,512,healthcare,mental health,query,FALSE,"lauren betts mental health, mental health counselor salary, how does social media affect mental health, mla citation generator, mental health technician jobs, government jobs, bipolar disorder, intensive outpatient program mental health, therapeutic health services, mindful therapy group, anxiety treatment for kids, counseling services for wellbeing, free therapy online, hailey van lith mental health, free online therapy, counseling services for wellbeing, mental health services near me, counseling services for wellbeing, how does sleep affect mental health, mental health treatment centers, mental health crisis line, mental health services near me, fmla washington, mental health crisis hotline, mental health clinic near me, psychiatric mental health nurse practitioner, borderline personality disorder, mental health hospitals near me, serenity counseling services, social media and mental health, mental health therapy, mental health counselor, mental health near me, mental health counselor, mental health near me, serenity counseling services, behavioral health, depression, mental health disorders, depression, mental health clinic, mental health disorders, mental health clinic, greater lakes mental health, credit counseling services, anxiety, mental health disorders, greater lakes mental health, greater lakes mental health, kaiser, social media and mental health, adhd",4590,Seattle,0,17:57.8,Google Trends
13,513,healthcare,mental health,query,FALSE,"dcr mental health, optimum mental health services, what is mental health, what is mental health, kitsap mental health services, kitsap mental health services, what is mental health, kitsap mental health services, associates in mental health, columbia river mental health services, mental health services, columbia river mental health services, dcr mental health, adult mental health services, seattle mental health, seattle mental health, mental health services, sound mental health auburn, fmla for mental health, mental health events, mental health quiz, mental health counseling, mental health care, mental health awareness month, sound mental health seattle, mental health jobs, sound mental health, sound mental health, va mental health services, mental health therapist, mental health therapist, mental health hospital, sound mental health, mental health center, mental health support, mental health center, mental health hospital, kitsap mental health, mental health crisis, mental health day, inpatient mental health, mental health day, mental health awareness, kitsap mental health, mental health awareness, mental health month, kitsap mental health, mental health awareness, mental health month, uw mental health, mental health day, mental health definition, mental health resources, mental health month, mental health definition, kaiser mental health, mental health definition, mental health facility, kaiser mental health, mental health test, kaiser mental health, mental health for all, mental health evaluation, mental health first aid, columbia river mental health, mental health first aid, mental health quotes, clarity mental health",2734,Seattle,1,17:57.8,Google Trends
14,514,healthcare,mental health,query,FALSE,"mental health awareness month 2025, mental health awareness month 2025, what is mental health, what is mental health, mental health awareness, mental health awareness, ellie mental health, men's mental health month, mental health awareness month, ellie mental health, mental health awareness month, ellie mental health, mental health awareness, mental health awareness, ellie mental health, mental health awareness month, men's mental health month, mental health awareness month, men's mental health month",1120,St Louis,0,17:57.8,Google Trends
15,515,healthcare,mental health,query,FALSE,"mental health apps, mla citation, slides, google scholar, southeast missouri mental health center, psychology today, alton mental health center, teen mental health, mental health urgent care, mental health support, alliance counseling services, free therapy online, alliance counseling services, department of mental health, mental health therapist near me, chester mental health center, department of mental health, how does social media affect mental health, social media and mental health, social media and mental health, missouri department of mental health, mental health quotes, mental health first aid, mental health america, schizophrenia, mental health quotes, mental health issues, mental health treatment, mental health service, missouri department of mental health, mental health urgent care, mental health hospital, mental health day, mental health support, mental health disorders, mental health crisis, missouri department of mental health, mental health day, mental health crisis, alton mental health center, mental health matters, mental health urgent care, mental health first aid training, chester mental health center, mental health first aid, mental health urgent care, mental health hotline, mental health hotline, mental health first aid training, mental health america, alton mental health center, ellie mental health st charles, southeast missouri mental health center, mental health facilities near me, alton mental health center, southeast missouri mental health center, mental health facilities near me, chester mental health center",3997,St Louis,1,17:57.8,Google Trends
16,623,healthcare,urgent care,query,TRUE,"strep throat symptoms, comprehensive healthcare yakima, evicore healthcare",,Seattle,0,17:57.8,Google Trends
17,624,healthcare,urgent care,query,TRUE,blood clinics near me,,Seattle,1,17:57.8,Google Trends
18,625,healthcare,urgent care,query,TRUE,24/7 urgent care near me,,Seattle,2,17:57.8,Google Trends
19,626,healthcare,urgent care,query,TRUE,"mercy urgent care eureka mo, sinus infection symptoms, kidney infection symptoms, fast track urgent care florissant mo, fast track urgent care florissant mo",,St Louis,0,17:57.8,Google Trends
20,516,healthcare,pharmaceuticals,query,FALSE,"tonix pharmaceuticals, nvidia stock, measles outbreak, vertex pharmaceuticals stock, epilepsy medications, teva pharmaceuticals, glp 1 medications, medications not allowed in japan, hi tech pharmaceuticals, pertussis, acid reflux medications, recursion pharmaceuticals stock, triptan medications, ivermectin cancer clinical trials, amazon prescriptions, glp 1 medications, medications for ocd, anti allergy medications, antiviral medications, vertex pharmaceuticals, clinical trials gov, vertex pharmaceuticals, custom prescriptions, clinical trials gov, cdc, jazz pharmaceuticals, vertex pharmaceuticals, custom prescriptions, clinical trials gov, telix pharmaceuticals, verrica pharmaceuticals stock, antifungal medications, diuretic medications, citalopram, adhd medications, regeneron pharmaceuticals, biohaven pharmaceuticals, lexapro, custom prescriptions, adhd medications, methylphenidate, hydroxyzine, dementia medications, pneumococcal vaccine, heart medications, amazon prescriptions, diabetes medications, anti nausea medications, amneal pharmaceuticals, glp-1 medications, type 2 diabetes medications, mmr vaccine, insomnia medications, anti nausea medications, anti nausea medications, tdap vaccine, takeda pharmaceuticals, heart failure medications, anticholinergic medications, teva pharmaceuticals, diabetes medications, mmr vaccine, diabetes medications, cvs prescriptions, cholesterol medications, amazon prescriptions, diuretic medications, cholesterol medications, jazz pharmaceuticals, statin medications, cholesterol medications, glp-1 medications, sleep medications, tonix pharmaceuticals stock, glp-1 medications, recursion pharmaceuticals, seizure medications, cns pharmaceuticals, goodrx, dementia medications, antipsychotic medications, recursion pharmaceuticals, mist pharmaceuticals, ozempic, takeda pharmaceuticals, antipsychotic medications, antipsychotic medications, ssri medications, migraine medications, jazz pharmaceuticals, ssri medications, vertex pharmaceuticals stock, seizure medications, gerd medications, gabapentin, asthma medications, gerd medications, lisinopril, vanda pharmaceuticals, psychotropic medications, seizure medications, osteoporosis medications, asthma medications, antidepressant medications, recursion pharmaceuticals stock, gabapentin, ed medications, psychotropic medications, hpv, mrna vaccine, hypertension medications, tdap vaccine, antidepressant medications, osteoporosis medications, tonix pharmaceuticals stock price, measles outbreak, metformin, statin medications, acadia pharmaceuticals stock, ssri medications, paid clinical trials near me, ionis pharmaceuticals, hepatitis b, anti nausea medications over the counter, petco, telix pharmaceuticals stock, bora pharmaceuticals, varicella, rubella, ed medications, takeda pharmaceuticals, suzanne humphries",8820,Seattle,0,17:57.8,Google Trends
21,517,healthcare,pharmaceuticals,query,FALSE,"dog vaccines schedule, vaccines and autism, how many mmr vaccines do you need, measles, adhd medication, covid vaccines, blood pressure medications, blood pressure medication side effects, covid vaccines, rfk jr vaccines, blood pressure medications, anxiety medication side effects, covid vaccines, safeway pharmacy, blood pressure medications, weight loss medication, anxiety medications, measles vaccines, measles, do vaccines cause autism, anxiety medication, cdc travel vaccines, 2 year old vaccines, anxiety medications, costco vaccines, vaccines for dogs, anxiety medications, rfk jr vaccines, mercury in vaccines, thyroid medication side effects, what vaccines are required for school, medications for anxiety, weight loss medications, weight loss medications, rfk vaccines, weight loss medication, weight loss medications, autism and vaccines, mrna vaccines, vaccines for babies, dog vaccines, travel vaccines, mrna vaccines, dog vaccines, measles, dog vaccines, rfk vaccines, side effects of blood pressure medication, live vaccines, vaccines for children, cat vaccines, cat vaccines, puppy vaccines, vaccines for babies, 2 month vaccines, walgreens vaccines, puppy vaccines, safeway vaccines, costco vaccines, walgreens vaccines, costco vaccines, vaccines and autism, walgreens vaccines, 2 month vaccines, safeway vaccines, 2 month vaccines, safeway vaccines, how do vaccines work, chicken vaccines, walgreens, cvs vaccines, where to get vaccines, how do vaccines work, do vaccines cause autism, fda approved vaccines, gsk vaccines",4178,Seattle,1,17:57.8,Google Trends
22,518,healthcare,pharmaceuticals,query,FALSE,"tonix pharmaceuticals, do vaccines cause autism, cvs vaccines, fda flu vaccines, teva pharmaceuticals, vertex pharmaceuticals, measles outbreak, clinical trials gov, covid vaccines, clinical trials near me, vertex pharmaceuticals, covid vaccines, walgreens prescriptions, covid vaccines, clinical trials gov, prescriptions plus, mallinckrodt pharmaceuticals, mallinckrodt pharmaceuticals, jazz pharmaceuticals, dog vaccines, fda approved vaccines, clinical trials near me, hpv vaccine, rfk vaccines, avadel pharmaceuticals, madrigal pharmaceuticals, mrna vaccines, vaccines near me, hi tech pharmaceuticals, clinical trials gov, ivermectin cancer clinical trials, clinical trials near me, vaccines near me, teva pharmaceuticals, walgreens vaccines, 2 month vaccines, square stock, vertex pharmaceuticals, 2 month vaccines, walgreens vaccines, metformin, amlodipine, cvs vaccines, how many vaccines do children get, do vaccines cause autism, walgreens vaccines",3461,St Louis,0,17:57.8,Google Trends
23,519,healthcare,pharmaceuticals,query,FALSE,"psychotropic medications, blood pressure medications, ssri medications, blood pressure medications, blood pressure medications, diabetes medications, cholesterol medications, adhd medications, psychotropic medications, medications for anxiety, seizure medications, asthma medications, weight loss medications, adhd medications, weight loss medications, cholesterol medications, sleep medications, glp-1 medications, seizure medications, diabetes medications, glp-1 medications, glp-1 medications, type 2 diabetes medications, ssri medications, asthma medications, antipsychotic medications, antipsychotic medications, glp 1 medications, ssri medications, antiviral medications, cholesterol medications, antiviral medications, antiviral medications, gerd medications, antidepressant medications, antifungal medications",1541,St Louis,1,17:57.8,Google Trends
24,520,healthcare,telehealth,query,FALSE,"medicare and telehealth, medicare telehealth, medicare telehealth 2025, telehealth telemedicine services, medicare telehealth services, medicare not covering telehealth, telemedicine services, telehealth medicare, telemedicine services, medicare telehealth, telehealth telemedicine services, medicare telehealth 2025, medicare telehealth 2025, telehealth telemedicine services",3165,Seattle,0,17:57.8,Google Trends
